Provenance,English,Somali,Somali italic?
p-2-1,Absolute value,Qiimo sugan,
,Acute angle,Xagal fiican,
,Acute-angled triangle,Saddexagal fiiqan,
,Addition,Isugeyn,
,Add,Kudar,
,Adjacent,Deris,
,Algebra,Aljebra,Y
,Algorithm,Xidhmayn,
,Amount,Hanti,
,Analogous,Iskusifaale,
,Analyse,Saafan,
,Analysis,Saafid,
,Angle,Xagal,
,Angle of depression,Xagal dhacsan,
,Angle of elevations,Xagal kacsan,
,Answer,Jawaab,
,Antilogarithms,Lidlog,Y
,Anti-clockwise,Lid saacad wareeg,
,Approximation,Seebid,
,Arc,Qaanso,
,Argument,Dood,
,Arithmetic,Aritmatic,Y
,Arrangement,Ratibaad,
,Associative,Hormagelin,
,Assume,"Kadhig, ka soo qaad",
,Assumption,Uqaadasho,
,Average,Celcelis,
,Axes,Dhidbo,
,Axis,Dhidib,
,Bar,Jiitin,
,Base,Sal,
,Basis,Gundhig,
,Bearing,Fool,
,Binary operation,Lamaaneyaha xisaab-falka,
,Bisector,Kala badhe,
,Bisect,Kala badh,
,Braces,Tidic,
,Brackets,Dhudhub,
p-2-2,Calculate,Kala hormarin,
,Calculus,Kalkulas,Y
,Capacity,Qaad,
,Centre,Xuddun,
,Checking,"Hubsiimo, Hubin",
,Check,"Hubi, Hubso",
,Circle,Goob,
,Circumference,Meeris,
,Clockwise,Saacad wareeg,
,Closed,Xidhan,
,Cofactor,Isirwadaag,
,Coincide,Isdul dhac,
,Column,Joogutax,
,Combination,Racayn,
,Common,Caadi,
,Compare,Garab dhigid,
,Comparison,Xagle sidkan,
,Compass,Goobeeye,
,Complementary angles,Isujarid xagleed,
,Components,Xubno,
,Composite number,Tiro farcanta,
,Compound,"Iskudhis, tude",
,Concave,Golxo,
,Concentric,Isku xudun,
,Concept,Fikrad,
,Conclusion,Go'aan,
,Cone,Toobin,
,Congruency,Sar go'aan,
,Congruent triangles,Saddexagallo isku sar go'an,
,Conjunction,Isku xidhe,
,Consecutive,Isku xige,
,Constant,Madoorsame,
,Continuous,Is-haysta,
,Contradiction,Isburin,
,Converse,Rog,
,Convex,Tuur,
,Coordinate,Kulan,
,Coordinate,Kulan,
,Corresponding angles,Xagle gudboon,
